filename,sha256,ripemd160
Screenshot 2025-07-29 at 7.47.25 am.png,0865b71cf0044c4ad7ae57782098bf11645cd1d35bd28f1dcbff85b66fe9641a,874bb19878e59a6a0994bb6c51158ff43e4b5fcf
.DS_Store,d65165279105ca6773180500688df4bdc69a2c7b771752f0a46ef120b7fd8ec3,33e5e9cf6ed4682534d6bfc3e1a4a728c094103d
Screenshot 2025-07-29 at 7.52.09 am.png,b40ec9841484ce33ed1d5fd704ea221fac8a11368e3e660bc59302fc99086c27,ede9af1773d560b20af96882e934f5be7eab0059
Screenshot 2025-07-29 at 7.43.32 am.png,fa1e92ebdb62771a5cc7db3e6f05c2f3ae86f322a6c51965642038a2e7ed3765,c3331b5b0dbeb17d74f97b720646a15f74f1edfd
Screenshot 2025-07-29 at 7.54.44 am.png,f27a7479992c973b1d0554a933c9db537848e13757c56f67d2f757a0f44e06c9,f7d07d5b264e520b3632630f691c3f40985a3091
Screenshot 2025-07-29 at 7.53.17 am.png,8b13d207216c2749ff39d58bca1389574a98ad2ccc354a2080644ca1a605a420,67f83ca4f2bf90cf791a28f17089e06d316faf92
Screenshot 2025-07-29 at 7.54.25 am.png,709e1a2b91692eb4afec89406cb6064e8c8c670000557478ae417a7dc8f1ef0d,ca3faa3bcc42b3acafc92495c431aef17da69e60
Screenshot 2025-07-29 at 7.54.04 am.png,09aec45789062f5683725bd673048edd5ead977ea5dc54ce7deabd5f2107154a,709240993dc0c33cb53ea2e68bbacb2c61f29f31
METAVAL-SESS001_OTS_TXID_Block_Validation_CompiledScreenshots.pdf,f4df988d4e9ae98148113b7cf0080ff385d6b3dec65d73a4866eb7ef705a3b48,5b5d3037579d35b1d499a61fa92ab187fbfdb3b8
Screenshot 2025-07-29 at 7.47.47 am.png,295379095d27131dc68fbee4b9a11c796b0918bc2208b5d648ca7b72aa07ed4c,11514f507af0b1535d94104bef39846912c5ca0b
Screenshot 2025-07-29 at 7.51.19 am.png,12b6c553b72d755d7b705c1d512570662e5896a05f28fee21131bd84362d0a1b,1f3e2f50e9af432297d700b4c96b6db072fac411
AUDIT-EVIDENCE_VALIDATORS_REPRODUCIBILITY_METAVAL-SESS001_opentimestamps_OTS_v.july29.25.md,bdf713e1862997b8d26b37a09d06a027833db324601e85e3a27edabf4219ecc1,1db515f501646232f11c459aae1946d83ae7b4e5
