filename,sha256,ripemd160
C5.7_CredentialAudit_Doctrine_v1.0.md,ERROR,ERROR
.DS_Store,ad7cfc3c5739346409261b87537019b086693fb231901cf97f95704bf29d6694,33a922b594a59abe7d233ef365d76ef76d86025d
Final_Tables.xlsx,ERROR,ERROR
audit_log_OPTMZ2-SR008_20250709T025024.085862Z.json,ERROR,ERROR
anchor_log_MVP1-SR033_20250620T012012.872478Z.json,ERROR,ERROR
Screenshot 2025-07-11 at 10.41.03 am.png,ERROR,ERROR
Final_Figures_supplement.pptx,ERROR,ERROR
ADD JACC CVI REVIEWER ROLE.pdf,ERROR,ERROR
DeepAudit_CSV001_HumanAudit_LLM3LLM4_titles_and_abstracts_001_Combined.csv,ERROR,ERROR
audit_log_OPTMZ2-SR001_20250709T023343.365390Z.json,ERROR,ERROR
session_log_OPTMZ-SESS001_20250709T023626.543281Z.json,ERROR,ERROR
session_log_OPTMZ-SESS005_20250709T025037.058926Z.json,ERROR,ERROR
audit_log_OPTMZ2-SR009_20250709T053527.591402Z.json,ERROR,ERROR
batch_dualhasher.py,ERROR,ERROR
Final_TelleMA_manuscript_word.docx,ERROR,ERROR
session_log_OPTMZ-SESS009_20250709T053543.889521Z.json,ERROR,ERROR
